product_id,brand,price,rating,review_sentiment_score
1,"Allen Solly Woman",250.00,4.60,0.88
2,"Allen Solly Woman",300.00,3.50,-0.60
3,"Allen Solly Woman",400.00,3.60,0.60
4,"Allen Solly Woman",500.00,3.30,0.40
5,"Allen Solly Woman",500.00,3.70,-0.30
6,"Allen Solly Woman",600.00,4.10,0.65
7,"Allen Solly Woman",10000.00,4.80,0.90
8,"Allen Solly Woman",10000.00,4.90,0.90
9,"Allen Solly Woman",10000.00,4.90,0.95
10,AmazonBasics,400.00,4.60,0.80
11,AmazonBasics,500.00,3.40,-0.10
12,AmazonBasics,500.00,3.80,-0.10
13,AmazonBasics,500.00,4.50,0.80
14,AmazonBasics,600.00,3.40,-0.10
15,AmazonBasics,600.00,4.60,0.60
16,AmazonBasics,600.00,4.80,-0.10
17,AmazonBasics,700.00,4.70,0.90
18,AmazonBasics,700.00,5.00,-0.10
19,AmazonBasics,800.00,4.50,0.70
20,AmazonBasics,800.00,4.80,0.90
21,AmazonBasics,800.00,4.90,-0.10
22,AmazonBasics,900.00,4.90,0.90
23,AmazonBasics,1000.00,4.90,0.90
24,AmazonBasics,1100.00,4.90,0.90
25,AmazonBasics,1200.00,4.90,0.90
26,AmazonBasics,10000.00,3.50,0.10
27,Baidyanath,900.00,3.10,-0.30
28,Biovea,90.00,4.30,0.82
29,Biovea,100.00,1.00,-1.00
30,Biovea,100.00,4.70,0.90
31,Biovea,500.00,4.80,0.90
32,Biovea,600.00,4.80,0.90
33,Biovea,700.00,4.80,0.90
34,Biovea,800.00,4.80,0.90
35,Biovea,900.00,4.80,0.90
36,Biovea,1100.00,4.80,0.90
37,Biovea,1200.00,4.90,0.90
38,Biovea,1300.00,4.90,0.90
39,"Dabur Chyawanprash",700.00,4.20,0.40
40,"Dabur Chyawanprash",800.00,4.10,0.50
41,"Dabur Chyawanprash",800.00,4.40,0.20
42,"Dabur Chyawanprash",900.00,4.10,0.60
43,"Dabur Chyawanprash",1000.00,0.00,-0.70
44,"Dabur Chyawanprash",1000.00,4.10,0.70
45,"Dabur Chyawanprash",1200.00,4.00,0.70
46,"Dabur Chyawanprash",1400.00,4.20,0.70
47,"Dabur Chyawanprash",1500.00,4.30,0.70
48,"Dabur Chyawanprash",1800.00,4.40,0.70
49,Dettol,90.00,4.60,0.90
50,Dettol,200.00,3.40,0.30
51,Dettol,200.00,4.20,0.50
52,Dettol,500.00,1.80,-0.30
53,Dettol,500.00,3.00,-0.20
54,Dettol,500.00,4.40,0.70
55,Dettol,600.00,4.50,0.50
56,Dettol,800.00,3.90,0.10
57,Dettol,900.00,5.00,0.95
58,Dettol,1000.00,4.70,0.75
59,Dettol,4500.00,3.70,0.40
60,Dettol,5000.00,4.30,0.50
61,Dettol,6000.00,4.50,0.60
62,Dettol,6000.00,4.50,0.70
63,Dettol,6000.00,4.60,0.60
64,Dettol,6000.00,4.60,0.70
65,Dettol,8000.00,4.50,0.85
66,Dettol,9000.00,4.60,0.90
67,Dettol,9000.00,4.80,0.90
68,Dettol,10000.00,4.90,0.90
69,"Dove Hair",100.00,4.20,0.80
70,"Dove Hair",400.00,2.60,-0.70
71,"Dove Hair",3000.00,3.90,0.50
72,Duroflex,500.00,3.20,-0.10
73,Duroflex,600.00,3.00,-0.10
74,Duroflex,600.00,3.40,-0.20
75,Duroflex,700.00,3.00,-0.10
76,Duroflex,800.00,2.90,-0.10
77,Duroflex,900.00,2.80,-0.10
78,Duroflex,1000.00,2.60,-0.10
79,Duroflex,1000.00,3.20,-0.50
80,Duroflex,1100.00,2.10,-0.10
81,Fastrack,200.00,3.00,-0.40
82,Fastrack,300.00,2.80,-0.50
83,Fastrack,400.00,2.60,-0.60
84,Fastrack,400.00,3.10,-0.50
85,Fastrack,400.00,3.40,0.20
86,Fastrack,400.00,3.50,0.60
87,Fastrack,500.00,2.40,-0.70
88,Fastrack,600.00,2.20,-0.80
89,Fastrack,600.00,3.30,0.40
90,Fastrack,700.00,2.00,-0.90
91,Fastrack,800.00,1.70,-0.90
92,Fastrack,800.00,4.00,0.50
93,Fastrack,1000.00,4.80,0.70
94,Fastrack,7000.00,4.60,0.75
95,Fastrack,8000.00,4.80,0.80
96,Fastrack,8000.00,4.80,0.85
97,Fastrack,8000.00,4.80,0.90
98,"Flying Machine",200.00,4.10,0.70
99,"Flying Machine",280.00,4.50,0.85
100,"Flying Machine",280.00,4.80,0.92
101,"Flying Machine",300.00,2.10,-0.70
102,"Flying Machine",300.00,2.10,-0.60
